/home/alejandro/ISTEA/EXAMEN2/Logs/dism.log:2023-11-08 18:44:30, ERROR               DISM   DISM Provider Store: PID=1348 TID=4328 Failed to load the provider: C:\WINDOWS\system32\Dism\SiloedPackageProvider.dll. - CDISMProviderStore::Internal_GetProvider(hr:0x8007007e)
/home/alejandro/ISTEA/EXAMEN2/Logs/dism.log:2023-11-08 18:48:51, ERROR               DISM   DISM Provider Store: PID=6716 TID=6212 Failed to load the provider: C:\Users\ALEJAN~1\AppData\Local\Temp\C1392E2A-756C-4DAA-8146-34E8DF1BCB63\PEProvider.dll. - CDISMProviderStore::Internal_GetProvider(hr:0x8007007e)
/home/alejandro/ISTEA/EXAMEN2/Logs/dism.log:2024-02-17 13:09:09, Info                  CBS    Failed to find a matching version for servicing stack: C:\$WinREAgent\Scratch\Mount\Windows\WinSxS\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.2905_none_7dd39c4c7cb9dfa0\ [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/dism.log:2024-02-17 13:09:09, Info                  CBS    Failed to find servicing stack directory in online store. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/dism.log:2024-02-17 13:09:09, Info                  CBS    Failed to extract file TOC.xml from cabinet \\?\C:\WINDOWS\TEMP\IXP000.TMP\SSU-19041.3745-x64.cab [HRESULT = 0x80070002 - ERROR_FILE_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/dism.log:2024-02-17 13:09:09, Info                  CBS    Not able to add file to extract: update.ses [HRESULT = 0x80070002 - ERROR_FILE_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/dism.log:2024-02-17 13:09:19, Info                  CBS    Cannot read value for the force canceled current transaction. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/dism.log:2024-02-17 13:09:19, Info                  CBS    CBS force canceled transaction status datapoint is invalid. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/dism.log:2024-02-17 13:09:19, Info                  CBS    The store corruption status report is incomplete. [HRESULT = 0x80070002 - ERROR_FILE_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/dism.log:2024-02-17 13:09:20, Info                  CBS    Failed to move \\?\C:\$WinREAgent\Scratch\Mount\Windows\CbsTemp\416_326350828\ to temp directory \\?\C:\$WinREAgent\Scratch\Mount\Windows\CbsTemp\416_326350828\{BC2D6205-7B81-48C3-BDBC-D2DDCA06EBA4} [HRESULT = 0x80070020 - ERROR_SHARING_VIOLATION]
/home/alejandro/ISTEA/EXAMEN2/Logs/dism.log:2024-02-17 13:09:20, Info                  CBS    Failed moving directory: \\?\C:\$WinREAgent\Scratch\Mount\Windows\CbsTemp\416_326350828\ to temp, will delete in-place instead [HRESULT = 0x80070020 - ERROR_SHARING_VIOLATION]
/home/alejandro/ISTEA/EXAMEN2/Logs/dism.log:2024-02-17 13:09:21, Info                  CBS    Failed to extract file TOC.xml from cabinet \\?\C:\WINDOWS\TEMP\IXP000.TMP\windows10.0-kb5034232-x64.cab [HRESULT = 0x80070002 - ERROR_FILE_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/dism.log:2024-02-17 13:09:21, Info                  CBS    Not able to add file to extract: update.ses [HRESULT = 0x80070002 - ERROR_FILE_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/dism.log:2024-02-17 13:09:29, Info                  CBS    Cannot read value for the force canceled current transaction. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/dism.log:2024-02-17 13:09:29, Info                  CBS    CBS force canceled transaction status datapoint is invalid. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/dism.log:2024-02-17 13:09:29, Info                  CBS    The store corruption status report is incomplete. [HRESULT = 0x80070002 - ERROR_FILE_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/dism.log:2024-02-17 13:09:29, Info                  CBS    Failed to move \\?\C:\$WinREAgent\Scratch\Mount\Windows\CbsTemp\416_326365484\ to temp directory \\?\C:\$WinREAgent\Scratch\Mount\Windows\CbsTemp\416_326365484\{7D1F8190-D1D9-4501-AECF-7BCE3646ADBF} [HRESULT = 0x80070020 - ERROR_SHARING_VIOLATION]
/home/alejandro/ISTEA/EXAMEN2/Logs/dism.log:2024-02-17 13:09:29, Info                  CBS    Failed moving directory: \\?\C:\$WinREAgent\Scratch\Mount\Windows\CbsTemp\416_326365484\ to temp, will delete in-place instead [HRESULT = 0x80070020 - ERROR_SHARING_VIOLATION]
/home/alejandro/ISTEA/EXAMEN2/Logs/dism.log:2024-02-17 13:09:54, Warning               CBS    Current tick count: 100 lower than last tick count: 1000. [HRESULT = 0x8007000d - ERROR_INVALID_DATA]
/home/alejandro/ISTEA/EXAMEN2/Logs/dism.log:2024-03-06 21:31:40, ERROR               DISM   DISM Provider Store: PID=10904 TID=10528 Failed to load the provider: C:\WINDOWS\system32\Dism\MetaDeployProvider.dll. - CDISMProviderStore::Internal_GetProvider(hr:0x8007007e)
/home/alejandro/ISTEA/EXAMEN2/Logs/vboxpostinstall.log:PROCESSOR_REVISION=8e0cERROR
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:36, Info                  CBS    DriverUpdateInstallUpdates failed [HRESULT = 0x80070bc2 - ERROR_SUCCESS_REBOOT_REQUIRED]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Package_for_DotNetRollup_481~31bf3856ad364e35~amd64~~10.0.9277.2 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Package_for_DotNetRollup_481~31bf3856ad364e35~amd64~~10.0.9266.2 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Package_for_KB5042097_GM~31bf3856ad364e35~amd64~~10.0.9266.2 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Package_1_for_KB5042097~31bf3856ad364e35~amd64~~10.0.9266.2 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Package_2_for_KB5042097~31bf3856ad364e35~amd64~~10.0.9266.2 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Package_3_for_KB5042097~31bf3856ad364e35~amd64~~10.0.9266.2 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Package_4_for_KB5042097~31bf3856ad364e35~amd64~~10.0.9266.2 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Package_5_for_KB5042097~31bf3856ad364e35~amd64~~10.0.9266.2 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Package_6_for_KB5042097~31bf3856ad364e35~amd64~~10.0.9266.2 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Package_7_for_KB5042097~31bf3856ad364e35~amd64~~10.0.9266.2 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
/home/alejandro/ISTEA/EXAMEN2/Logs/CBS.log:2024-10-08 21:13:55, Info                  CBS    Cannot remove Package: Package_8_for_KB5042097~31bf3856ad364e35~amd64~~10.0.9266.2 from package tracker, because it isn't there. [HRESULT = 0x80070490 - ERROR_NOT_FOUND]
